window,start,end,strategy,resolution,pricing_model,cadence_days,universe_size,universe,observations,initial_nav_usd,ending_nav_usd,gross_interest_usd,net_apr,gross_apr,gas_usd,turnover_nav,moves,liquidation_count,liquidation_repaid_usd,bad_debt_event_count,material_incident_count,principal_loss_usd,max_concentration,max_liquidity_shortfall,average_deployed_weight,minimum_deployed_weight,maximum_deployed_weight,final_idle_weight,daily_apr_volatility
oct10-cascade-7d,2025-10-10,2025-10-16,static-constrained,HOUR,post-impact,,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056208.70700099,56388.70700098397,0.029308825793370213,0.02940268293622736,180.0,0.825,3,27,7685251.495898001,0,0,0.0,0.4675,0.22715679450799175,0.825,0.825,0.825,0.175,0.0008694025991848197
oct10-cascade-7d,2025-10-10,2025-10-16,spot-chaser(top2),HOUR,post-impact,1.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100037310.28764777,38870.28764777473,0.01945464998776825,0.020268078559196823,1560.0,13.0,26,27,7685251.495898001,0,0,0.0,0.5,0.8177087378447633,1.0,1.0,1.0,0.0,0.005922530389587208
oct10-cascade-7d,2025-10-10,2025-10-16,constrained-yield(1d),HOUR,post-impact,1.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056920.75595522,57280.755955221844,0.029680108462365677,0.029867822748079958,360.0,0.9017391304347826,6,27,7685251.495898001,0,0,0.0,0.4675,0.2069004396435797,0.8419565217391304,0.81,0.8517391304347827,0.1482608695652174,0.0005627766616249752
oct10-cascade-7d,2025-10-10,2025-10-16,constrained-yield(3d),HOUR,post-impact,3.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056517.95291057,56757.952910572436,0.029470075446227057,0.029595218303369912,240.0,0.89,4,27,7685251.495898001,0,0,0.0,0.4675,0.22715679450799175,0.8342857142857143,0.825,0.89,0.11,0.0007020744038257695
oct10-cascade-7d,2025-10-10,2025-10-16,constrained-yield(7d),HOUR,post-impact,7.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056208.70700099,56388.70700098397,0.029308825793370213,0.02940268293622736,180.0,0.825,3,27,7685251.495898001,0,0,0.0,0.4675,0.22715679450799175,0.825,0.825,0.825,0.175,0.0008694025991848197
oct10-cascade-7d,2025-10-10,2025-10-16,constrained-yield(14d),HOUR,post-impact,14.0,4,"AA_FalconXUSDC, WBTC, cbBTC, wstETH",168,100000000.0,100056208.70700099,56388.70700098397,0.029308825793370213,0.02940268293622736,180.0,0.825,3,27,7685251.495898001,0,0,0.0,0.4675,0.22715679450799175,0.825,0.825,0.825,0.175,0.0008694025991848197
normal-2026-06-25-30d,2026-06-25,2026-07-24,static-constrained,DAY,post-impact,,8,"AA_FalconXUSDC, WBTC, WETH, cbBTC, stUSDS, weETH, wstETH, wstETH",30,100000000.0,100192935.82218836,193355.8221883591,0.02347385836625036,0.02352495836625036,420.0,0.86,7,13,74005.853331,0,0,0.0,0.4475,0.37826644558228617,0.86,0.86,0.86,0.14,0.0006031012339484393
normal-2026-06-25-30d,2026-06-25,2026-07-24,spot-chaser(top2),DAY,post-impact,1.0,8,"AA_FalconXUSDC, WBTC, WETH, cbBTC, stUSDS, weETH, wstETH, wstETH",30,100000000.0,100070636.62207556,77716.62207555804,0.00859412235252623,0.009455522352526228,7080.0,59.0,118,13,74005.853331,0,0,0.0,0.5,0.9858331501722196,1.0,1.0,1.0,0.0,0.0032487828384780036
normal-2026-06-25-30d,2026-06-25,2026-07-24,constrained-yield(1d),DAY,post-impact,1.0,8,"AA_FalconXUSDC, WBTC, WETH, cbBTC, stUSDS, weETH, wstETH, wstETH",30,100000000.0,100189130.99895166,189790.99895165474,0.02301093820578466,0.02309123820578466,660.0,0.925,11,13,74005.853331,0,0,0.0,0.465,0.35324987488341525,0.837,0.83,0.86,0.17,0.0005858705029483887
normal-2026-06-25-30d,2026-06-25,2026-07-24,constrained-yield(3d),DAY,post-impact,3.0,8,"AA_FalconXUSDC, WBTC, WETH, cbBTC, stUSDS, weETH, wstETH, wstETH",30,100000000.0,100192401.31146571,193001.31146571733,0.023408826228328943,0.023481826228328943,600.0,0.93375,10,13,74005.853331,0,0,0.0,0.4775,0.37826644558228617,0.8558749999999999,0.84625,0.86,0.15375,0.0006194391274418304
